slug,carta,anime,raridade,categoria,habilidade,o_que_faz,custo_moedas,custo_diamantes,nivel_minimo
adolla-burst,Adolla Burst,Fire Force,rare,armamento,Ativar Adolla Burst,Causa 55 de dano e aplica burn.,200,100,4
anti-magic-slash,Anti-Magic Slash,Black Clover,epic,habilidade,Ativar Anti-Magic Slash,Causa 80 de dano e aplica focus.,400,200,7
arthurs-excalibur,Arthur’s Excalibur,Fire Force,common,armamento,Ativar Arthur’s Excalibur,Causa 20 de dano e aplica focus.,50,25,1
automail-blade,Automail Blade,Fullmetal Alchemist,rare,armamento,Ativar Automail Blade,Causa 55 de dano e aplica bleed.,200,100,4
avalon,Avalon,Fate,mythic,armamento,Legado: Avalon,Habilidade unica de Avalon. Reservada para efeitos especiais de batalha.,1000,500,14
barukas-dagger,Baruka’s Dagger,Solo Leveling,epic,armamento,Ativar Baruka’s Dagger,Causa 80 de dano e aplica bleed.,400,200,7
behelit,Behelit,Berserk,common,colecao,Ativar Behelit,Causa 20 de dano e aplica focus.,50,25,1
benimarus-crimson-moon,Benimaru’s Crimson Moon,Fire Force,rare,armamento,Ativar Benimaru’s Crimson Moon,Causa 55 de dano e aplica burn.,200,100,4
berserker-armor,Berserker Armor,Berserk,legendary,colecao,Legado: Berserker Armor,Habilidade unica de Berserker Armor. Reservada para efeitos especiais de batalha.,700,350,10
berserker-rag,Berserker Rag,Berserk,common,armamento,Ativar Berserker Rag,Causa 20 de dano e aplica focus.,50,25,1
black-divider,Black Divider,Black Clover,epic,armamento,Ativar Black Divider,Causa 80 de dano e aplica focus.,400,200,7
black-flash,Black Flash,Jujutsu Kaisen,epic,habilidade,Ativar Black Flash,Causa 80 de dano e aplica shock.,400,200,7
bloodlust,Bloodlust,Solo Leveling,common,habilidade,Ativar Bloodlust,Causa 20 de dano e aplica bleed.,50,25,1
cannon-arm,Cannon Arm,Berserk,common,armamento,Ativar Cannon Arm,Causa 20 de dano e aplica focus.,50,25,1
chain-jail,Chain Jail,Hunter x Hunter,epic,armamento,Ativar Chain Jail,Causa 80 de dano e aplica focus.,400,200,7
chastiefol,Chastiefol,Seven Deadly Sins,legendary,armamento,Legado: Chastiefol,Habilidade unica de Chastiefol. Reservada para efeitos especiais de batalha.,700,350,10
