Carta,Raridade final,Fam?lia,Efeito proposto
Adolla Burst,Rara,Campo,Cria chamas purificadoras; Fire do usu?rio atravessa resist?ncias leves por 3 turnos.
Anti-Magic Slash,Lend?ria,Campo,"Por 5 turnos, habilidades m?gicas inimigas causam metade do efeito e campos m?gicos enfraquecem."
Arthur’s Excalibur,Comum,Golpe,O pr?ximo ataque f?sico ganha prioridade e ignora redu??o de dano de campo.
Automail Blade,Rara,Golpe,Cada uso consecutivo corta mais fundo e acumula ruptura de defesa.
Avalon,M?tica,Destino,"Por 5 turnos, dano recebido ? drasticamente reduzido e parte dele ? revertida em cura."
Baruka’s Dagger,?pica,Controle,"Golpe g?lido que congela 1 turno; se usado em alvo j? lento, ganha follow-up autom?tico."
Behelit,Lend?ria,Destino,"Quando o usu?rio cair abaixo de 20% HP, oferece sacrif?cio: troca parte dos recursos atuais por um renascimento monstruoso tempor?rio."
Benimaru’s Crimson Moon,Lend?ria,Campo,Ergue uma lua carmesim; Fire ganha grande amplifica??o e ataques inimigos sofridos deixam cinzas que reduzem precis?o.
Berserker Armor,Lend?ria,Transforma??o,"Ignora dor: o usu?rio continua lutando sob dano letal por 3 turnos, mas paga toda a d?vida ao final."
Berserker Rag,Comum,Postura,"Por 3 turnos, quanto menor o HP do usu?rio, maior o dano f?sico causado."
Black Divider,Rara,Golpe,Amplia a l?mina a cada uso; o alcance cresce e passa a atingir shields e summons juntos.
Black Flash,M?tica,Golpe,"Pode ser usado todo turno; acumula poder absurdo em sequ?ncia, mas cobra HP do usu?rio e zera ao errar."
Bloodlust,Comum,Marca,"Ao causar dano, marca o alvo; o pr?ximo ataque contra ele cura parte do dano causado."
Cannon Arm,Comum,Golpe,"Dispara antes do turno normal; se o alvo estiver com shield, quebra o shield antes do dano."
Chain Jail,???,Marca,"Acorrenta o inimigo, impede buffs e executa automaticamente ao atingir 10% de HP."
Chastiefol,Lend?ria,Invoca??o,"Escolha uma forma entre m?ltiplas armas de Chastiefol, cada uma com papel diferente."
Cruel Sun,Lend?ria,Campo,"Invoca o Sol por 5 turnos; Fire triplica, Ice enfraquece e o calor cresce a cada rodada."
Cursed Speech,Incomum,Controle,"Escolha uma ordem curta: parar, recuar ou calar. O inimigo obedece por 1 turno."
Dark Magician,Comum,Elemento,O pr?ximo ataque Special vira Dark e recebe b?nus se o alvo tiver buff ativo.
Dark Shadow,Rara,Forma,Invoca uma sombra que fica mais forte em campos Dark e mais fraca sob Sol.
Death Scythe,Lend?ria,Execu??o,"Marca alvos feridos; abaixo de certo limiar, o pr?ximo corte executa instantaneamente."
Demon Sword Ragnarok,Lend?ria,Forma,A espada assume o usu?rio: ataques ganham roubo de vida e mordem parte da energia inimiga.
Dimension Slash,Rara,Quebra de regra,O pr?ximo corte ignora barreiras e conta como acerto direto mesmo atrav?s de prote??o.
Direct Shot,Comum,Golpe,O pr?ximo ataque n?o pode errar nem ser desviado.
Disaster,Comum,Controle,Espalha o ?ltimo debuff aplicado pelo usu?rio para durar 1 turno extra.
Domain Expansion,???,Campo,Abre um dom?nio por 3 turnos; toda a??o ofensiva acerta e o usu?rio escolhe entre Cleave e Dismantle a cada rodada.
Dragon Balls,M?tica,Destino,"Concede um desejo entre cura total, dano massivo ou buff extremo de ataque."
Dragon Cleave,Rara,Golpe,"Corta m?ltiplas camadas defensivas; quanto mais buffs o alvo tiver, maior o dano."
Dragon Force,?pica,Transforma??o,"Escolha um elemento; por 4 turnos, ataques desse elemento ignoram resist?ncias e escalam com acertos seguidos."
Dragon Lacrima,Rara,Elemento,Escolha um elemento ao equipar; o usu?rio ganha afinidade tempor?ria com ele.
Dragon of the Darkness Flame,M?tica,Campo,Invoca fogo eterno; o alvo queima at? o fim da batalha e Fire deixa de perder for?a contra resist?ncias leves.
Dragon Slayer,Lend?ria,Golpe,Cada acerto reduz permanentemente a defesa do alvo nesta batalha; bosses sentem metade do efeito.
enma,Lend?ria,Postura,"Drena a for?a do usu?rio para elevar brutalmente o dano f?sico; quanto mais aceitar o dreno, maior o corte."
Enuma Elish,???,Quebra de regra,Rasga a realidade: todos perdem 50% do HP atual e campos ativos s?o destru?dos.
Equivalent Exchange,?pica,Destino,"Converta HP, energia ou buffs em outro recurso equivalente ? escolha do usu?rio."
Erasure,Rara,Controle,Apaga uma habilidade inimiga escolhida at? o fim da batalha.
Erza’s Armors,?pica,Forma,"O usu?rio escolhe uma armadura: anti-f?sica, anti-m?gica ou anti-elemental por 4 turnos."
Excalibur,M?tica,Golpe,"Dano verdadeiro e, ap?s ativar, 5 rodadas de dano triplicado do usu?rio."
Explosion Rush,Comum,Golpe,O pr?ximo ataque causa dano adicional para cada turno consecutivo em que o usu?rio atacou.
Fairy Tail Mark,Comum,Postura,"Se o usu?rio estiver abaixo de 50% HP, ganha um pequeno buff de dano e defesa por 3 turnos."
Final Flash,?pica,Golpe,Carrega por 1 turno e ent?o dispara dano devastador que aumenta quanto mais HP o usu?rio perdeu.
Fire Dragon Roar,?pica,Elemento,"Ataque Fire em cone; se Fire j? for super efetivo, deixa campo em chamas por 3 turnos."
Flame Alchemy,?pica,Combo,Todo burn causado pelo usu?rio pode ser detonado para dano imediato ou mantido para press?o prolongada.
foice tripla,Comum,Golpe,O pr?ximo ataque atinge 3 vezes com dano reduzido; cada acerto pode quebrar uma camada de prote??o.
Full Counter,Lend?ria,Postura,"Por 3 turnos, o primeiro ataque Special recebido em cada turno ? refletido com for?a dobrada."
Geass Eye,???,Destino,Prev? e comanda o fluxo; os pr?ximos 5 ataques contra o usu?rio s?o desviados automaticamente.
Gideon,Lend?ria,Golpe,Esmaga o campo; inimigos perdem velocidade e estruturas de campo s?o destru?das.
