slug,carta,anime,raridade,habilidade,o_que_faz,custo_moedas,custo_diamantes,nivel_minimo
anti-magic-slash,Anti-Magic Slash,Black Clover,epic,Ativar Anti-Magic Slash,Causa 80 de dano e aplica focus.,400,200,7
black-flash,Black Flash,Jujutsu Kaisen,epic,Ativar Black Flash,Causa 80 de dano e aplica shock.,400,200,7
bloodlust,Bloodlust,Solo Leveling,common,Ativar Bloodlust,Causa 20 de dano e aplica bleed.,50,25,1
cruel-sun,Cruel Sun,Seven Deadly Sins,epic,Ativar Cruel Sun,Causa 80 de dano e aplica burn.,400,200,7
dimension-slash,Dimension Slash,Black Clover,epic,Ativar Dimension Slash,Causa 80 de dano e aplica focus.,400,200,7
direct-shot,Direct Shot,Blue Lock,common,Ativar Direct Shot,Causa 20 de dano e aplica focus.,50,25,1
domain-expansion,Domain Expansion,Jujutsu Kaisen,mythic,Legado: Domain Expansion,Habilidade unica de Domain Expansion. Reservada para efeitos especiais de batalha.,1000,500,14
dragon-force,Dragon Force,Fairy Tail,epic,Ativar Dragon Force,Causa 80 de dano e aplica focus.,400,200,7
equivalent-exchange,Equivalent Exchange,Fullmetal Alchemist,epic,Ativar Equivalent Exchange,Causa 80 de dano e aplica focus.,400,200,7
final-flash,Final Flash,Dragon Ball,epic,Ativar Final Flash,Causa 80 de dano e aplica burn.,400,200,7
flame-alchemy,Flame Alchemy,Fullmetal Alchemist,epic,Ativar Flame Alchemy,Causa 80 de dano e aplica burn.,400,200,7
full-counter,Full Counter,Seven Deadly Sins,epic,Ativar Full Counter,Causa 80 de dano e aplica focus.,400,200,7
geass-eye,Geass Eye,Code Geass,unknown,Legado: Geass Eye,Habilidade unica de Geass Eye. Reservada para efeitos especiais de batalha.,1500,750,18
godspeed,Godspeed,Hunter x Hunter,epic,Ativar Godspeed,Causa 80 de dano e aplica shock.,400,200,7
ice-make,Ice Make,Fairy Tail,common,Ativar Ice Make,Causa 20 de dano e aplica freeze.,50,25,1
jajanken,Jajanken,Hunter x Hunter,common,Ativar Jajanken,Causa 20 de dano e aplica focus.,50,25,1
kaioken,Kaioken,Dragon Ball,epic,Ativar Kaioken,Causa 80 de dano e aplica focus.,400,200,7
kamehameha,Kamehameha,Dragon Ball,epic,Ativar Kamehameha,Causa 80 de dano e aplica burn.,400,200,7
meta-vision,Meta Vision,Blue Lock,common,Ativar Meta Vision,Causa 20 de dano e aplica focus.,50,25,1
rulers-authority,Ruler’s Authority,Solo Leveling,common,Ativar Ruler’s Authority,Causa 20 de dano e aplica focus.,50,25,1
shadow-extraction,Shadow Extraction,Solo Leveling,epic,Ativar Shadow Extraction,Causa 80 de dano e aplica curse.,400,200,7
soul-resonance,Soul Resonance,Soul Eater,common,Ativar Soul Resonance,Causa 20 de dano e aplica focus.,50,25,1
stealth,Stealth,Solo Leveling,common,Ativar Stealth,Causa 20 de dano e aplica focus.,50,25,1
thunderclap-and-flash,Thunderclap and Flash,Demon Slayer,epic,Ativar Thunderclap and Flash,Causa 80 de dano e aplica shock.,400,200,7
time-stop,Time Stop,JoJo,unknown,Legado: Time Stop,Habilidade unica de Time Stop. Reservada para efeitos especiais de batalha.,1500,750,18
titan-shift,Titan Shift,Attack on Titan,common,Ativar Titan Shift,Causa 20 de dano e aplica focus.,50,25,1
ultra-instinct,Ultra Instinct,Dragon Ball,unknown,Legado: Ultra Instinct,Habilidade unica de Ultra Instinct. Reservada para efeitos especiais de batalha.,1500,750,18
water-breathing,Water Breathing,Demon Slayer,common,Ativar Water Breathing,Causa 20 de dano e aplica focus.,50,25,1
zoltraak,Zoltraak,Frieren,mythic,Legado: Zoltraak,Habilidade unica de Zoltraak. Reservada para efeitos especiais de batalha.,1000,500,14
